tconst,title,year,genres,rating,votes,directorID,topActors
tt8499638,Saturday Fiction,2019.0,"Drama,History",6.6,1348,nm0521601,"['nm0000084', 'nm3609766', 'nm0339621']"
tt8500060,Sauerkrautkoma,2018.0,"Comedy,Crime",6.8,2145,nm0381305,"['nm0080134', 'nm0777649', 'nm0693383']"
tt8503618,Hamilton,2020.0,"Biography,Drama,History",8.3,129326,nm2371802,"['nm0592135', 'nm5623883', 'nm1502434']"
tt8504014,Good Newwz,2019.0,"Comedy,Drama",6.8,23376,nm3262433,"['nm0474774', 'nm0004626', 'nm4362492']"
tt8506840,I Do Not Care If We Go Down in History as Barbarians,2018.0,"Comedy,Drama",7.2,2219,nm1257492,"['nm2416757', 'nm1216209', 'nm3712654']"
tt8506874,Komola Rocket,2018.0,Drama,7.3,1242,nm6757052,"['nm2609716', 'nm3618107', 'nm7772820']"
tt8508734,His House,2020.0,"Drama,Horror,Thriller",6.4,51841,nm3676311,"['nm5444837', 'nm2148911', 'nm12022709']"
tt8510324,Good Game: The Beginning,2018.0,"Comedy,Drama,Sport",4.8,8271,nm2141029,"['nm5465752', 'nm8141944', 'nm9818137']"
tt8510350,Satanic Panic,2019.0,"Comedy,Horror",5.6,7239,nm2854747,"['nm0005381', 'nm0617141', 'nm3587674']"
tt8510488,Holiday in the Wild,2019.0,"Comedy,Drama,Romance",6.2,18492,nm0053228,"['nm0000507', 'nm0004862', 'nm1283879']"
tt8510508,Elizabeth Taylor: The Lost Tapes,2024.0,Documentary,7.4,1155,nm0123379,['nm11318167']
tt8511466,Aporia,2023.0,"Drama,Sci-Fi",5.6,2492,nm1474337,"['nm0339460', 'nm1346230', 'nm1818216']"
tt8514848,Summit Fever,2022.0,Drama,5.3,2406,nm1402202,"['nm0000202', 'nm4026222', 'nm7188414']"
tt8515700,The Champion,2019.0,"Comedy,Drama",6.5,2116,nm1216206,"['nm0009629', 'nm8264558', 'nm0691316']"
tt8518302,Dawn Breaks Behind the Eyes,2021.0,"Action,Horror,Mystery",5.0,2183,nm7072762,"['nm9236318', 'nm7666229', 'nm5605559']"
